filename,wsi_path,error,timestamp,worker_id,start_time,end_time,processing_time
anon_dda861bb-d237-474e-ab5f-0a739591809c.svs,/vol/biomedic3/histopatho/win_share/2023-08-14/anon_dda861bb-d237-474e-ab5f-0a739591809c.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-08-14/anon_dda861bb-d237-474e-ab5f-0a739591809c.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-08-14/anon_dda861bb-d237-474e-ab5f-0a739591809c.svs"" does not exist
",2025-09-16T03:30:47.228739,ForkPoolWorker-2,2025-09-16T03:30:47.228407,2025-09-16T03:30:47.228739,0.0003493400290608406
anon_4d4c548b-fea9-477a-9dae-b7f90a3aa842.svs,/vol/biomedic3/histopatho/win_share/2023-03-30/anon_4d4c548b-fea9-477a-9dae-b7f90a3aa842.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-03-30/anon_4d4c548b-fea9-477a-9dae-b7f90a3aa842.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-03-30/anon_4d4c548b-fea9-477a-9dae-b7f90a3aa842.svs"" does not exist
",2025-09-16T03:30:47.231565,ForkPoolWorker-2,2025-09-16T03:30:47.229045,2025-09-16T03:30:47.231565,0.0025203698314726353
anon_10335c86-a9b6-4460-9079-2778bff41774.svs,/vol/biomedic3/histopatho/win_share/2023-03-30/anon_10335c86-a9b6-4460-9079-2778bff41774.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-03-30/anon_10335c86-a9b6-4460-9079-2778bff41774.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-03-30/anon_10335c86-a9b6-4460-9079-2778bff41774.svs"" does not exist
",2025-09-16T03:30:47.234692,ForkPoolWorker-2,2025-09-16T03:30:47.231948,2025-09-16T03:30:47.234692,0.002743738004937768
anon_339f1e3f-3f67-43ee-b915-b1ec66bdf031.svs,/vol/biomedic3/histopatho/win_share/2023-05-12/anon_339f1e3f-3f67-43ee-b915-b1ec66bdf031.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-05-12/anon_339f1e3f-3f67-43ee-b915-b1ec66bdf031.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-05-12/anon_339f1e3f-3f67-43ee-b915-b1ec66bdf031.svs"" does not exist
",2025-09-16T03:30:47.258139,ForkPoolWorker-2,2025-09-16T03:30:47.234996,2025-09-16T03:30:47.258139,0.02314155292697251
anon_103a3d71-3c3e-4322-b2ed-63d9467b1277.svs,/vol/biomedic3/histopatho/win_share/2023-03-30/anon_103a3d71-3c3e-4322-b2ed-63d9467b1277.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-03-30/anon_103a3d71-3c3e-4322-b2ed-63d9467b1277.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-03-30/anon_103a3d71-3c3e-4322-b2ed-63d9467b1277.svs"" does not exist
",2025-09-16T03:30:47.280936,ForkPoolWorker-2,2025-09-16T03:30:47.258867,2025-09-16T03:30:47.280936,0.022068430902436376
anon_fc5f9d74-bf37-4379-8f6f-650070a4474c.svs,/vol/biomedic3/histopatho/win_share/2023-08-14/anon_fc5f9d74-bf37-4379-8f6f-650070a4474c.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-08-14/anon_fc5f9d74-bf37-4379-8f6f-650070a4474c.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-08-14/anon_fc5f9d74-bf37-4379-8f6f-650070a4474c.svs"" does not exist
",2025-09-16T03:30:47.281669,ForkPoolWorker-2,2025-09-16T03:30:47.281378,2025-09-16T03:30:47.281669,0.00029211491346359253
anon_09ee2504-297e-4af8-97f5-fa95911f70da.svs,/vol/biomedic3/histopatho/win_share/2023-03-30/anon_09ee2504-297e-4af8-97f5-fa95911f70da.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-03-30/anon_09ee2504-297e-4af8-97f5-fa95911f70da.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-03-30/anon_09ee2504-297e-4af8-97f5-fa95911f70da.svs"" does not exist
",2025-09-16T03:30:47.284726,ForkPoolWorker-2,2025-09-16T03:30:47.282029,2025-09-16T03:30:47.284726,0.0027027179021388292
anon_c4d8ceaf-55d7-4bdd-adba-c93ee025ca1c.svs,/vol/biomedic3/histopatho/win_share/2023-06-09/anon_c4d8ceaf-55d7-4bdd-adba-c93ee025ca1c.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-06-09/anon_c4d8ceaf-55d7-4bdd-adba-c93ee025ca1c.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-06-09/anon_c4d8ceaf-55d7-4bdd-adba-c93ee025ca1c.svs"" does not exist
",2025-09-16T03:56:16.438953,ForkPoolWorker-1,2025-09-16T03:56:16.436109,2025-09-16T03:56:16.438953,0.002843610942363739
anon_0d34bec2-dd56-4683-9ece-feec74df2f85.svs,/vol/biomedic3/histopatho/win_share/2023-06-09/anon_0d34bec2-dd56-4683-9ece-feec74df2f85.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-06-09/anon_0d34bec2-dd56-4683-9ece-feec74df2f85.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-06-09/anon_0d34bec2-dd56-4683-9ece-feec74df2f85.svs"" does not exist
",2025-09-16T04:14:18.554962,ForkPoolWorker-1,2025-09-16T04:14:18.554771,2025-09-16T04:14:18.554962,0.00019130203872919083
anon_49d2c11d-4a38-4b0d-9650-b2064908ca57.svs,/vol/biomedic3/histopatho/win_share/2023-06-09/anon_49d2c11d-4a38-4b0d-9650-b2064908ca57.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-06-09/anon_49d2c11d-4a38-4b0d-9650-b2064908ca57.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-06-09/anon_49d2c11d-4a38-4b0d-9650-b2064908ca57.svs"" does not exist
",2025-09-16T04:14:18.555226,ForkPoolWorker-1,2025-09-16T04:14:18.555169,2025-09-16T04:14:18.555226,5.6658871471881866e-05
